"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"3210",3210,"Free Willy 2: The Adventure Home","PG","Action & Adventure, Kids & Family",96,"Rotten",50,26,30077111,1995,5,18600,0,0,1,0,0,0,0,1,0,0
"3211",3211,"Free Willy 3: The Rescue","PG","Action & Adventure, Drama, Kids & Family",86,"Rotten",44,16,3446539,1997,4.7,10245,0,0,1,1,0,0,0,1,0,0
"3212",3212,"Freedom Writers","PG-13","Drama",123,"Fresh",70,126,36605602,2007,7.6,79003,0,0,0,1,0,0,0,0,1,0
"3213",3213,"Freedomland","R","Drama, Mystery & Suspense",113,"Rotten",23,151,12512886,2006,5.1,16388,0,0,0,1,0,0,0,1,0,0
"3214",3214,"Freeheld","PG-13","Drama",103,"Rotten",48,137,573335,2015,6.6,12671,0,0,0,1,0,0,0,1,0,0
"3215",3215,"Freejack","R","Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",110,"Rotten",18,17,17129026,1992,5.4,16408,0,0,1,0,1,0,0,1,0,0
"3216",3216,"Freetown","PG-13","Drama",116,"Rotten",50,12,401328,2015,4.6,1262,0,0,0,1,0,0,0,1,0,0
"3217",3217,"Freeze Frame","R","Drama, Horror, Mystery & Suspense",100,"Fresh",71,7,1100,2004,6.8,115,0,1,0,1,0,0,0,0,1,0
"3218",3218,"The French Lieutenant's Woman","R","Art House & International, Drama, Romance",123,"Fresh",79,24,26890068,1981,6.9,13817,0,0,0,1,0,1,0,0,1,0
"3219",3219,"Frequency","PG-13","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",117,"Certified-Fresh",70,125,45010278,2000,7.4,108809,0,0,1,1,1,0,0,0,0,1
"3220",3220,"Fresh","R","Drama, Mystery & Suspense",112,"Certified-Fresh",88,40,8094616,1994,7.5,13518,0,0,0,1,0,0,0,0,0,1
"3221",3221,"Frida","R","Drama, Romance",123,"Certified-Fresh",75,158,25885000,2002,7.3,90090,0,0,0,1,0,0,0,0,0,1
"3222",3222,"Friday","R","Comedy",91,"Fresh",78,27,27467564,1995,7.2,113802,1,0,0,0,0,0,0,0,1,0
"3223",3223,"Friday After Next","R","Comedy",82,"Rotten",26,72,33253609,2002,5.7,28096,1,0,0,0,0,0,0,1,0,0
"3224",3224,"Friday Night Lights","PG-13","Action & Adventure, Drama",117,"Certified-Fresh",82,173,61255921,2004,7.2,63606,0,0,1,1,0,0,0,0,0,1
"3225",3225,"Friday the 13th Part 2","R","Horror",87,"Rotten",27,44,21722776,1981,6,68576,0,1,0,0,0,0,0,1,0,0
"3226",3226,"Fried Green Tomatoes","PG-13","Comedy, Drama",130,"Fresh",74,42,82418501,1991,7.7,75128,1,0,0,1,0,0,0,0,1,0
"3227",3227,"Friend Request","R","Art House & International, Horror, Mystery & Suspense",92,"Rotten",16,75,3759078,2017,5.1,257,0,1,0,0,0,1,0,1,0,0
"3228",3228,"Frogs for Snakes","R","Action & Adventure, Comedy, Mystery & Suspense",115,"Rotten",27,11,21589,1999,4.4,375,1,0,1,0,0,0,0,1,0,0
"3229",3229,"From Beyond","R","Drama, Horror, Science Fiction & Fantasy",85,"Fresh",78,18,1261000,1986,6.6,26449,0,1,0,1,1,0,0,0,1,0
"3230",3230,"From Dusk Till Dawn","R","Drama, Horror, Mystery & Suspense",107,"Fresh",62,50,25836616,1996,7.2,313506,0,1,0,1,0,0,0,0,1,0
