"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"1144",1163,"A Wrinkle in Time","PG","Action",109,"Rotten",42,334,100478608,2018,5.5,2361
"1145",1164,"Abandon","PG-13","Horror",99,"Rotten",16,113,10727683,2002,4.8,9830
"1146",1165,"The Abandoned","R","Horror",106,"Rotten",38,34,1331137,2007,5.5,12981
"1147",1166,"ABCs of Death 2","NR","Horror",123,"Fresh",73,33,7171,2014,5.4,8650
"1148",1167,"Abduction","PG-13","Action",106,"Rotten",5,108,28087155,2011,4.9,260
"1149",1168,"Aberdeen","NR","Comedy",113,"Fresh",87,39,65090,2001,7.1,3305
"1150",1169,"About a Boy","PG-13","Comedy",100,"Certified-Fresh",93,187,41385278,2002,7.1,184102
"1151",1170,"About Adam","R","Comedy",105,"Fresh",68,57,159668,2001,5.8,6613
"1152",1171,"About Cherry","R","Drama",102,"Rotten",14,21,3003,2012,4.8,10523
"1153",1172,"About Schmidt","R","Comedy",124,"Certified-Fresh",85,203,65016287,2002,7.2,128958
"1154",1173,"About Time","R","Comedy",124,"Fresh",68,158,15322921,2013,7.7,22
