"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"5005","Mutual Appreciation",103509,"R",2006,"109",6.6,85,1935,55
"5006","MVP: Most Valuable Primate",1248746,"PG",2000,"93",4.1,20,2582,5
"5007","My Dog Tulip",246574,"NR",2010,"83",6.8,90,1691,60
"5008","My Girl 2",17359799,"PG",1994,"99",5.3,27,19959,15
"5009","My Perestroika",242707,"NR",2011,"88",7.2,92,658,26
"5010","My Beautiful Laundrette",2451545,"R",1986,"97",6.8,97,16161,39
"5011","My Best Friend",1426784,"PG-13",2007,"95",5.5,75,133,88
"5012","My Best Friend's Wedding",127120029,"PG-13",1997,"105",6.3,73,142915,59
"5013","My Big Fat Greek Wedding",241438208,"PG",2002,"95",6.6,76,132643,129
"5014","My Big Fat Greek Wedding 2",59689605,"PG-13",2016,"94",6,27,31314,175
"5015","My Blueberry Nights",867275,"PG-13",2008,"95",6.6,46,54514,128
"5016","My Bodyguard",22482952,"PG",1980,"96",7.1,84,9594,31
"5017","My Boss's Daughter",15550605,"PG-13",2003,"86",4.7,8,29624,74
"5018","My Boyfriend's Back",3335984,"PG-13",1993,"95",5.6,14,250,22
"5019","My Brother",65797,"PG-13",2007,"100",5.1,30,354,10
"5020","My Country, My Country",33620,"NR",2006,"90",7.1,86,366,36
"5021","My Cousin Rachel",2716368,"PG-13",2017,"98",7.1,76,2985,154
"5022","My Cousin Vinny",52929168,"R",1992,"120",7.6,86,124672,58
"5023","My Dog Skip",34134641,"PG",2000,"95",7,73,20659,82
"5024","My Entire High School Sinking Into the Sea",68883,"PG-13",2017,"75",6.1,85,1184,71
"5025","My Favorite Martian",36850101,"PG",1999,"94",5,12,13703,42
"5026","My Favorite Year",20123620,"PG",1982,"92",7.3,96,9825,27
"5027","My Fellow Americans",22313201,"PG-13",1996,"101",6.5,47,15163,60
"5028","My First Mister",568762,"R",2001,"109",7.2,52,5677,82
"5029","My First Wedding",14982,"PG-13",2006,"94",4.7,0,1148,7
"5030","My Flesh and Blood",40573,"NR",2003,"83",8.3,90,1745,30
"5031","My Friend Dahmer",1361611,"R",2017,"107",6.2,86,20270,104
"5032","My Giant",8072007,"PG",1998,"103",5,19,6937,27
"5033","My Kid Could Paint That",231574,"PG-13",2007,"82",7.1,94,3401,83
"5034","My Life",27804899,"PG-13",1993,"117",6.8,42,11627,24
"5035","My Life in Ruins",8665206,"PG-13",2009,"98",5.9,10,19754,126
"5036","My Life So Far",635620,"PG-13",1999,"98",6.5,70,3046,27
"5037","My Little Pony: The Movie",21885107,"PG",2017,"86",5.8,46,2711,65
"5038","My Old Lady",4013786,"PG-13",2014,"107",6.4,62,9403,92
"5039","My Own Private Idaho",6401336,"R",1991,"104",7,80,56769,59
"5040","My Reincarnation",92822,"NR",2011,"90",6.2,73,255,15
"5041","My Summer of Love",1000915,"R",2005,"86",6.7,90,20684,93
"5042","My Super Ex-Girlfriend",22530295,"PG-13",2006,"96",5.2,39,64726,132
"5043","My Uncle Rafael",243616,"PG-13",2012,"102",5.4,20,214,5
"5044","My Week with Marilyn",14600347,"R",2011,"99",6.9,83,87347,185
"5045","The Mysteries of Pittsburgh",80238,"R",2009,"95",5.3,12,3326,42
"5046","Mysterious Skin",713240,"NC17",2005,"105",7.6,85,70369,110
